Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_UserManagement,Chrome 123.0.0.0,,,04-04-2024 16:04:13,04-04-2024 16:05:25,1m - 11.300s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Admin_User,Chrome 123.0.0.0,,,04-04-2024 16:04:14,04-04-2024 16:05:25,1m - 11.058s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,04-04-2024 16:04:14,04-04-2024 16:05:11,56.595s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:05:11,04-04-2024 16:05:14,3.011s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,04-04-2024 16:05:14,04-04-2024 16:05:16,2.267s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/tab_userManagement""))",Chrome 123.0.0.0,,,04-04-2024 16:05:16,04-04-2024 16:05:18,2.368s,PASSED
"click(findTestObject(""F_Menu_Admin/F_UserManagement/select_users""))",Chrome 123.0.0.0,,,04-04-2024 16:05:18,04-04-2024 16:05:20,2.017s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menuWithFilter""), ""System Users"")",Chrome 123.0.0.0,,,04-04-2024 16:05:20,04-04-2024 16:05:22,1.350s,PASSED
delay(3),Chrome 123.0.0.0,,,04-04-2024 16:05:22,04-04-2024 16:05:25,3.019s,PASSED
