Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_EmploymentStatus,Chrome 123.0.0.0,,,05-04-2024 08:38:30,05-04-2024 08:40:21,1m - 51.630s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_EmploymentStatus,Chrome 123.0.0.0,,,05-04-2024 08:38:30,05-04-2024 08:40:21,1m - 51.105s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 08:38:31,05-04-2024 08:40:07,1m - 35.615s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 08:40:07,05-04-2024 08:40:10,3.014s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 08:40:10,05-04-2024 08:40:13,2.455s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,05-04-2024 08:40:13,05-04-2024 08:40:15,2.103s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_employmentStatus""))",Chrome 123.0.0.0,,,05-04-2024 08:40:15,05-04-2024 08:40:17,2.228s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Employment Status"")",Chrome 123.0.0.0,,,05-04-2024 08:40:17,05-04-2024 08:40:18,1.471s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 08:40:18,05-04-2024 08:40:21,3.016s,PASSED
