Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_Locations,Chrome 123.0.0.0,,,05-04-2024 09:31:13,05-04-2024 09:31:54,41.335s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_Location,Chrome 123.0.0.0,,,05-04-2024 09:31:13,05-04-2024 09:31:54,41.139s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 09:31:13,05-04-2024 09:31:40,26.349s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 09:31:40,05-04-2024 09:31:43,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 09:31:43,05-04-2024 09:31:45,2.184s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,05-04-2024 09:31:45,05-04-2024 09:31:48,2.806s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_locations""))",Chrome 123.0.0.0,,,05-04-2024 09:31:48,05-04-2024 09:31:50,2.248s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menuWithFilter""), ""Locations"")",Chrome 123.0.0.0,,,05-04-2024 09:31:50,05-04-2024 09:31:51,1.221s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 09:31:51,05-04-2024 09:31:54,3.007s,PASSED
