Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Education,Chrome 123.0.0.0,,,05-04-2024 10:23:09,05-04-2024 10:23:52,43.182s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Education,Chrome 123.0.0.0,,,05-04-2024 10:23:09,05-04-2024 10:23:52,42.966s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:23:09,05-04-2024 10:23:38,28.568s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:23:38,05-04-2024 10:23:41,3.013s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:23:41,05-04-2024 10:23:43,2.209s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,05-04-2024 10:23:43,05-04-2024 10:23:45,2.276s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_education""))",Chrome 123.0.0.0,,,05-04-2024 10:23:45,05-04-2024 10:23:47,2.033s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Education"")",Chrome 123.0.0.0,,,05-04-2024 10:23:47,05-04-2024 10:23:49,1.421s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:23:49,05-04-2024 10:23:52,3.022s,PASSED
