Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_PayGrades,Chrome 123.0.0.0,,,05-04-2024 10:37:53,05-04-2024 10:38:40,46.931s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_PayGrades,Chrome 123.0.0.0,,,05-04-2024 10:37:53,05-04-2024 10:38:40,46.746s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 10:37:54,05-04-2024 10:38:26,32.407s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:38:26,05-04-2024 10:38:29,3.010s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 10:38:29,05-04-2024 10:38:31,2.163s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,05-04-2024 10:38:31,05-04-2024 10:38:34,2.491s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_payGrades""))",Chrome 123.0.0.0,,,05-04-2024 10:38:34,05-04-2024 10:38:36,2.026s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Pay Grades"")",Chrome 123.0.0.0,,,05-04-2024 10:38:36,05-04-2024 10:38:37,1.347s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 10:38:37,05-04-2024 10:38:40,3.010s,PASSED
