Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Licenses,Chrome 123.0.0.0,,,05-04-2024 11:31:56,05-04-2024 11:32:41,44.744s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Licenses,Chrome 123.0.0.0,,,05-04-2024 11:31:57,05-04-2024 11:32:41,44.459s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 11:31:57,05-04-2024 11:32:26,29.378s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:32:26,05-04-2024 11:32:29,3.022s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 11:32:29,05-04-2024 11:32:32,2.432s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,05-04-2024 11:32:32,05-04-2024 11:32:34,2.667s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_licenses""))",Chrome 123.0.0.0,,,05-04-2024 11:32:34,05-04-2024 11:32:36,2.003s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Licenses"")",Chrome 123.0.0.0,,,05-04-2024 11:32:36,05-04-2024 11:32:38,1.480s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 11:32:38,05-04-2024 11:32:41,3.010s,PASSED
