Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_JobCategories,Chrome 123.0.0.0,,,05-04-2024 13:25:07,05-04-2024 13:25:57,49.598s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_JobCategories,Chrome 123.0.0.0,,,05-04-2024 13:25:08,05-04-2024 13:25:57,49.239s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,05-04-2024 13:25:08,05-04-2024 13:25:43,34.222s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:25:43,05-04-2024 13:25:46,3.009s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,05-04-2024 13:25:46,05-04-2024 13:25:48,2.239s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,05-04-2024 13:25:48,05-04-2024 13:25:51,2.737s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_jobCategories""))",Chrome 123.0.0.0,,,05-04-2024 13:25:51,05-04-2024 13:25:53,2.118s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Job Categories"")",Chrome 123.0.0.0,,,05-04-2024 13:25:53,05-04-2024 13:25:54,1.419s,PASSED
delay(3),Chrome 123.0.0.0,,,05-04-2024 13:25:54,05-04-2024 13:25:57,3.010s,PASSED
