Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Skills,Chrome 123.0.0.0,,,15-04-2024 09:38:31,15-04-2024 09:39:30,59.353s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualifications_Skills,Chrome 123.0.0.0,,,15-04-2024 09:38:31,15-04-2024 09:39:30,58.992s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 09:38:32,15-04-2024 09:39:15,42.915s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:39:15,15-04-2024 09:39:18,3.022s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 09:39:18,15-04-2024 09:39:20,2.335s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,15-04-2024 09:39:20,15-04-2024 09:39:24,3.740s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_skills""))",Chrome 123.0.0.0,,,15-04-2024 09:39:24,15-04-2024 09:39:26,2.081s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Skills"")",Chrome 123.0.0.0,,,15-04-2024 09:39:26,15-04-2024 09:39:27,1.328s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 09:39:27,15-04-2024 09:39:30,3.011s,PASSED
