Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Job_WorkShifts,Chrome 123.0.0.0,,,15-04-2024 13:56:19,15-04-2024 13:58:07,1m - 47.492s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Job_WorkShifts,Chrome 123.0.0.0,,,15-04-2024 13:56:20,15-04-2024 13:58:07,1m - 46.979s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 13:56:21,15-04-2024 13:57:52,1m - 31.580s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:57:52,15-04-2024 13:57:55,3.010s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 13:57:55,15-04-2024 13:57:58,2.399s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/tab_job""))",Chrome 123.0.0.0,,,15-04-2024 13:57:58,15-04-2024 13:58:00,1.935s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Job/select_workShifts""))",Chrome 123.0.0.0,,,15-04-2024 13:58:00,15-04-2024 13:58:02,2.549s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Work Shifts"")",Chrome 123.0.0.0,,,15-04-2024 13:58:02,15-04-2024 13:58:04,1.429s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 13:58:04,15-04-2024 13:58:07,3.015s,PASSED
