Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_Structure,Chrome 123.0.0.0,,,15-04-2024 14:34:52,15-04-2024 14:36:25,1m - 32.768s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_Structure,Chrome 123.0.0.0,,,15-04-2024 14:34:53,15-04-2024 14:36:25,1m - 32.505s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 14:34:53,15-04-2024 14:36:09,1m - 15.845s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 14:36:09,15-04-2024 14:36:12,3.022s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 14:36:12,15-04-2024 14:36:15,2.928s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,15-04-2024 14:36:15,15-04-2024 14:36:17,2.679s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_structure""))",Chrome 123.0.0.0,,,15-04-2024 14:36:17,15-04-2024 14:36:21,3.153s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Organization Structure"")",Chrome 123.0.0.0,,,15-04-2024 14:36:21,15-04-2024 14:36:22,1.393s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 14:36:22,15-04-2024 14:36:25,3.016s,PASSED
