Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Organization_GeneralInformation,Chrome 123.0.0.0,,,15-04-2024 15:27:11,15-04-2024 15:28:53,1m - 42.126s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Organization_GeneralInformation,Chrome 123.0.0.0,,,15-04-2024 15:27:11,15-04-2024 15:28:53,1m - 41.694s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 15:27:12,15-04-2024 15:28:33,1m - 21.370s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:28:33,15-04-2024 15:28:36,3.014s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 15:28:36,15-04-2024 15:28:44,7.730s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/tab_organization""))",Chrome 123.0.0.0,,,15-04-2024 15:28:44,15-04-2024 15:28:46,1.994s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Organization/select_generalInformation""))",Chrome 123.0.0.0,,,15-04-2024 15:28:46,15-04-2024 15:28:49,2.345s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""General Information"")",Chrome 123.0.0.0,,,15-04-2024 15:28:49,15-04-2024 15:28:50,1.366s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:28:50,15-04-2024 15:28:53,3.008s,PASSED
