Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Qualifications_Memberships,Chrome 123.0.0.0,,,15-04-2024 15:42:39,15-04-2024 15:43:56,1m - 17.494s,PASSED
,,,,,,,
Test Cases/Menu_Admin/Navigate_Qualification_Memberships,Chrome 123.0.0.0,,,15-04-2024 15:42:39,15-04-2024 15:43:56,1m - 17.235s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,15-04-2024 15:42:40,15-04-2024 15:43:41,1m - 1.724s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:43:41,15-04-2024 15:43:44,3.007s,PASSED
"click(findTestObject(""F_Menu_Admin/menu_admin""))",Chrome 123.0.0.0,,,15-04-2024 15:43:44,15-04-2024 15:43:47,2.412s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/tab_qualifications""))",Chrome 123.0.0.0,,,15-04-2024 15:43:47,15-04-2024 15:43:50,3.065s,PASSED
"click(findTestObject(""F_Menu_Admin/F_Qualifications/select_memberships""))",Chrome 123.0.0.0,,,15-04-2024 15:43:50,15-04-2024 15:43:52,2.141s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Memberships"")",Chrome 123.0.0.0,,,15-04-2024 15:43:52,15-04-2024 15:43:53,1.433s,PASSED
delay(3),Chrome 123.0.0.0,,,15-04-2024 15:43:53,15-04-2024 15:43:56,3.015s,PASSED
