Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Configuration,Chrome 123.0.0.0,,,16-04-2024 09:15:24,16-04-2024 09:18:43,3m - 19.109s,PASSED
,,,,,,,
Test Cases/Menu_PIM/Navigate_Configuration_CustomFields,Chrome 123.0.0.0,,,16-04-2024 09:15:25,16-04-2024 09:16:04,39.959s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,16-04-2024 09:15:25,16-04-2024 09:15:50,25.341s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:15:50,16-04-2024 09:15:53,3.004s,PASSED
"click(findTestObject(""F_Menu_PIM/menu_pim""))",Chrome 123.0.0.0,,,16-04-2024 09:15:53,16-04-2024 09:15:55,2.234s,PASSED
"click(findTestObject(""F_Menu_PIM/tab_configuration""))",Chrome 123.0.0.0,,,16-04-2024 09:15:55,16-04-2024 09:15:58,2.575s,PASSED
"click(findTestObject(""F_Menu_PIM/select_customFields""))",Chrome 123.0.0.0,,,16-04-2024 09:15:58,16-04-2024 09:16:00,2.148s,PASSED
"verifyElementText(findTestObject(""F_Menu_Admin/title_menu""), ""Custom Fields"")",Chrome 123.0.0.0,,,16-04-2024 09:16:00,16-04-2024 09:16:01,1.330s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:16:01,16-04-2024 09:16:04,3.007s,PASSED
,,,,,,,
Test Cases/Menu_PIM/Navigate_Configuration_DataImport,Chrome 123.0.0.0,,,16-04-2024 09:16:04,16-04-2024 09:16:44,39.321s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,16-04-2024 09:16:05,16-04-2024 09:16:30,25.741s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:16:30,16-04-2024 09:16:33,3.005s,PASSED
"click(findTestObject(""F_Menu_PIM/menu_pim""))",Chrome 123.0.0.0,,,16-04-2024 09:16:33,16-04-2024 09:16:35,2.112s,PASSED
"click(findTestObject(""F_Menu_PIM/tab_configuration""))",Chrome 123.0.0.0,,,16-04-2024 09:16:35,16-04-2024 09:16:38,2.612s,PASSED
"click(findTestObject(""F_Menu_PIM/select_dataImport""))",Chrome 123.0.0.0,,,16-04-2024 09:16:38,16-04-2024 09:16:40,1.885s,PASSED
"verifyElementText(findTestObject(""F_Menu_PIM/title_menu_pim""), ""Data Import"")",Chrome 123.0.0.0,,,16-04-2024 09:16:40,16-04-2024 09:16:41,0.860s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:16:41,16-04-2024 09:16:44,3.004s,PASSED
,,,,,,,
Test Cases/Menu_PIM/Navigate_Configuration_OptionalFields,Chrome 123.0.0.0,,,16-04-2024 09:16:44,16-04-2024 09:17:23,39.316s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,16-04-2024 09:16:44,16-04-2024 09:17:09,25.359s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:17:09,16-04-2024 09:17:12,3.009s,PASSED
"click(findTestObject(""F_Menu_PIM/menu_pim""))",Chrome 123.0.0.0,,,16-04-2024 09:17:12,16-04-2024 09:17:14,2.155s,PASSED
"click(findTestObject(""F_Menu_PIM/tab_configuration""))",Chrome 123.0.0.0,,,16-04-2024 09:17:14,16-04-2024 09:17:17,2.526s,PASSED
"click(findTestObject(""F_Menu_PIM/select_optionalFields""))",Chrome 123.0.0.0,,,16-04-2024 09:17:17,16-04-2024 09:17:19,1.986s,PASSED
"verifyElementText(findTestObject(""F_Menu_PIM/title_menu_pim""), ""Optional Fields"")",Chrome 123.0.0.0,,,16-04-2024 09:17:19,16-04-2024 09:17:20,1.190s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:17:20,16-04-2024 09:17:23,3.015s,PASSED
,,,,,,,
Test Cases/Menu_PIM/Navigate_Configuration_ReportingMethods,Chrome 123.0.0.0,,,16-04-2024 09:17:23,16-04-2024 09:18:04,40.871s,PASSED
"callTestCase(findTestCase(""Login/Login_Success""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,16-04-2024 09:17:23,16-04-2024 09:17:50,26.661s,PASSED
delay(3),Chrome 123.0.0.0,,,16-04-2024 09:17:50,16-04-2024 09:17:53,3.004s,PASSED
"click(findTestObject(""F_Menu_PIM/menu_pim""))",Chrome 123.0.0.0,,,16-04-2024 09:17:53,16-04-2024 09:17:55,2.126s,PASSED
"click(findTestObject(""F_Menu_PIM/tab_configuration""))",Chrome 123.0.0.0,,,16-04-2024 09:17:55,16-04-2024 09:17:58,2.491s,PASSED
"click(findTestObject(""F_Menu_PIM/select_reportingMethods""))",Chrome 123.0.0.0,,,16-04-2024 09:17:58,16-04-2024 09:18:00,2.243s,PASSED
